X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,Label1,Label2,Label3,Label4,Label5,Label6,Label7
3,65,0,1,1,0,26,14,-1,1,0,0,0,0,1,0,0,0
2,65,1,1,1,0,72,9,1,1,1,0,1,0,0,0,0,0
2,72,0,0,1,0,69,16,-1,1,0,0,0,0,0,1,0,0
3,105,1,1,1,0,53,9,1,1,1,0,1,0,0,0,0,0
3,65,0,1,1,0,32,16,-1,1,0,0,0,0,1,0,0,0
4,65,0,1,1,0,22,19,-1,1,0,0,0,0,1,0,0,0
5,67,0,1,1,1,22,20,-1,1,0,0,0,0,1,0,0,0
5,67,0,0,1,1,32,17,-1,1,0,0,0,0,0,1,0,0
2,113,0,1,0,1,40,20,-1,1,0,0,1,0,0,0,0,0
2,113,0,1,1,0,18,17,-1,1,0,1,0,0,0,0,0,0
2,113,0,1,1,1,21,17,-1,0,0,1,0,0,0,0,0,0
2,109,0,1,0,0,69,22,-1,1,0,0,1,0,0,0,0,0
2,124,1,1,1,1,67,13,1,1,1,0,1,0,0,0,0,0
3,90,1,1,0,0,54,10,0,1,0,0,0,0,0,1,0,0
3,69,0,1,0,0,37,13,-1,1,0,0,1,0,0,0,0,0
3,69,0,1,1,1,71,14,-1,1,0,0,1,0,0,0,0,0
3,69,0,1,1,0,63,14,-1,0,0,0,0,0,1,0,0,0
2,58,0,0,0,0,23,18,-1,1,0,0,0,0,1,0,0,0
2,66,1,1,0,1,33,9,0,1,0,1,0,0,0,0,0,0
2,66,1,1,0,1,17,9,0,0,0,1,0,0,0,0,0,0
2,86,1,0,1,0,20,9,1,1,1,0,1,0,0,0,0,0
2,86,0,1,0,0,22,17,-1,1,0,1,0,0,0,0,0,0
2,107,0,0,0,1,45,15,-1,1,0,1,0,0,0,0,0,0
2,107,0,0,0,1,36,15,-1,0,0,0,1,0,0,0,0,0
2,77,1,1,1,0,23,9,1,1,1,0,1,0,0,0,0,0
2,79,0,0,1,0,19,15,-1,1,0,0,1,0,0,0,0,0
2,144,0,1,0,1,26,18,-1,1,0,1,0,0,0,0,0,0
2,144,0,1,1,0,41,14,-1,1,0,1,0,0,0,0,0,0
4,66,0,1,1,0,18,17,-1,1,0,0,1,0,0,0,0,0
4,66,0,0,1,1,30,17,-1,0,0,0,0,0,1,0,0,0
2,142,1,1,1,0,26,12,1,1,1,0,1,0,0,0,0,0
0,145,0,1,1,1,16,16,-1,1,0,1,0,0,0,0,0,0
0,145,0,1,1,1,17,16,-1,0,0,1,0,0,0,0,0,0
2,145,1,1,0,1,20,14,0,1,0,1,0,0,0,0,0,0
2,145,1,1,0,0,17,14,0,0,0,1,0,0,0,0,0,0
3,70,0,0,1,1,32,11,-1,1,0,0,0,0,1,0,0,0
3,70,1,0,1,0,19,11,1,1,1,0,0,1,0,0,0,0
3,70,1,1,0,0,52,9,0,1,0,0,1,0,0,0,0,0
2,109,0,1,1,0,64,12,-1,1,0,0,0,1,0,0,0,0
2,109,0,1,1,0,19,20,-1,1,0,0,0,1,0,0,0,0
2,109,0,1,1,1,36,16,-1,1,0,0,0,1,0,0,0,0
2,109,1,1,0,1,23,11,0,1,0,0,1,0,0,0,0,0
5,65,0,0,1,1,76,20,-1,1,0,0,0,0,1,0,0,0
2,106,1,1,1,1,32,9,1,1,1,1,0,0,0,0,0,0
2,106,0,1,0,1,21,17,-1,1,0,0,1,0,0,0,0,0
2,106,0,1,0,1,25,17,-1,0,0,1,0,0,0,0,0,0
2,140,1,1,0,0,37,12,0,1,0,0,1,0,0,0,0,0
2,140,1,0,0,0,16,12,0,0,0,1,0,0,0,0,0,0
2,105,0,1,0,0,24,27,-1,1,0,0,1,0,0,0,0,0
2,105,0,1,1,1,39,17,-1,1,0,1,0,0,0,0,0,0
2,124,0,1,1,1,18,19,-1,1,0,1,0,0,0,0,0,0
4,99,0,1,1,0,64,13,-1,1,0,0,0,0,1,0,0,0
4,136,0,1,1,1,22,20,-1,1,0,0,1,0,0,0,0,0
4,144,0,1,1,1,27,36,-1,1,0,1,0,0,0,0,0,0
3,69,0,1,1,1,18,27,-1,1,0,1,0,0,0,0,0,0
5,69,0,1,0,0,20,18,-1,1,0,0,0,0,1,0,0,0
3,65,1,0,1,1,74,11,1,1,1,0,0,0,1,0,0,0
0,76,1,0,0,0,17,8,0,1,0,1,0,0,0,0,0,0
0,76,1,0,0,0,16,8,0,0,0,1,0,0,0,0,0,0
3,78,1,0,0,0,20,8,0,1,0,0,0,0,1,0,0,0
3,78,1,0,0,1,19,8,0,0,0,0,0,1,0,0,0,0
3,107,0,0,1,1,26,21,-1,1,0,0,0,0,1,0,0,0
2,135,1,1,1,1,32,9,0,1,0,1,0,0,0,0,0,0
3,83,0,0,0,0,78,18,-1,1,0,0,0,0,1,0,0,0
3,83,0,1,1,1,40,19,-1,1,0,1,0,0,0,0,0,0
3,83,0,1,1,0,36,19,-1,0,0,1,0,0,0,0,0,0
2,79,0,0,1,1,76,15,-1,1,0,0,0,0,0,0,1,0
2,112,0,0,0,0,55,21,-1,1,0,0,1,0,0,0,0,0
2,112,0,1,1,1,45,18,-1,1,0,1,0,0,0,0,0,0
2,112,0,1,0,0,20,12,-1,1,0,0,1,0,0,0,0,0
2,112,0,1,0,0,43,12,-1,0,0,0,1,0,0,0,0,0
3,67,0,1,1,1,21,10,-1,1,0,1,0,0,0,0,0,0
2,64,0,1,1,1,44,16,-1,1,0,1,0,0,0,0,0,0
2,64,0,1,1,0,62,16,-1,0,0,1,0,0,0,0,0,0
3,78,1,1,0,0,20,7,1,1,1,0,0,0,1,0,0,0
3,78,1,1,0,0,17,7,1,0,1,0,0,0,1,0,0,0
3,83,0,0,1,1,24,21,-1,1,0,0,0,1,0,0,0,0
3,83,0,0,1,1,62,21,-1,0,0,0,0,1,0,0,0,0
3,83,0,0,1,0,37,23,-1,1,0,0,0,0,1,0,0,0
2,77,0,1,1,0,82,16,-1,1,0,1,0,0,0,0,0,0
2,77,0,1,1,0,44,16,-1,0,0,0,1,0,0,0,0,0
2,71,1,1,0,0,23,10,0,1,0,1,0,0,0,0,0,0
5,67,0,1,1,1,67,12,-1,1,0,0,0,0,0,1,0,0
5,67,0,1,1,0,64,12,-1,0,0,0,0,0,0,1,0,0
4,67,0,1,1,1,65,13,-1,1,0,0,0,0,1,0,0,0
2,92,0,1,0,0,42,16,-1,1,0,0,1,0,0,0,0,0
2,92,0,0,1,0,21,15,-1,1,0,0,1,0,0,0,0,0
2,79,1,1,1,0,46,8,1,1,1,0,1,0,0,0,0,0
2,79,1,1,1,0,17,8,1,0,1,0,1,0,0,0,0,0
2,79,0,1,0,0,81,13,-1,1,0,0,1,0,0,0,0,0
0,84,1,1,0,1,50,12,0,1,0,1,0,0,0,0,0,0
5,52,0,1,0,1,33,13,-1,1,0,0,0,0,1,0,0,0
4,52,1,1,1,1,40,9,1,1,1,0,1,0,0,0,0,0
2,122,1,1,1,1,23,9,0,1,0,0,1,0,0,0,0,0
2,92,1,0,0,0,42,11,0,1,0,0,1,0,0,0,0,0
2,92,0,1,1,0,17,18,-1,1,0,0,1,0,0,0,0,0
2,128,0,1,0,1,71,17,-1,1,0,1,0,0,0,0,0,0
2,128,0,1,1,1,66,25,-1,1,0,1,0,0,0,0,0,0
2,78,0,0,0,0,20,15,-1,1,0,0,1,0,0,0,0,0
2,101,0,0,1,1,18,17,-1,1,0,0,0,0,1,0,0,0
2,101,0,0,1,1,26,17,-1,0,0,0,1,0,0,0,0,0
5,67,0,0,1,1,20,23,-1,1,0,0,0,0,1,0,0,0
5,67,0,0,1,0,19,23,-1,0,0,0,0,0,1,0,0,0
2,44,0,0,0,1,18,18,-1,1,0,0,0,0,1,0,0,0
5,44,0,1,0,1,25,25,-1,1,0,0,0,0,1,0,0,0
2,102,0,1,0,1,21,22,-1,1,0,0,1,0,0,0,0,0
2,102,0,1,0,0,18,22,-1,0,0,0,1,0,0,0,0,0
2,102,0,1,1,0,18,14,-1,1,0,0,1,0,0,0,0,0
2,102,0,0,1,0,20,14,-1,0,0,0,1,0,0,0,0,0
2,65,0,1,1,1,23,11,-1,1,0,0,1,0,0,0,0,0
3,69,1,0,1,1,26,12,1,1,1,0,0,0,1,0,0,0
3,69,0,0,1,1,55,12,-1,0,0,0,1,0,0,0,0,0
2,127,0,1,0,0,37,16,-1,1,0,1,0,0,0,0,0,0
2,127,1,0,1,0,50,8,1,1,1,0,1,0,0,0,0,0
2,92,0,1,0,1,45,23,-1,1,0,0,0,0,0,0,1,0
2,92,0,1,1,1,75,17,-1,1,0,1,0,0,0,0,0,0
2,71,1,1,1,0,57,9,1,1,1,0,1,0,0,0,0,0
2,104,0,1,1,0,17,15,-1,1,0,1,0,0,0,0,0,0
2,104,0,1,1,0,17,15,-1,0,0,1,0,0,0,0,0,0
2,78,1,1,1,0,50,9,1,1,1,0,0,0,1,0,0,0
4,65,0,0,0,0,77,15,-1,1,0,0,0,0,1,0,0,0
5,109,1,0,1,1,22,10,1,1,1,0,0,1,0,0,0,0
2,65,0,1,0,1,53,13,-1,1,0,0,0,0,1,0,0,0
2,104,1,1,0,1,42,13,1,1,1,0,0,1,0,0,0,0
2,104,0,1,0,1,42,13,-1,0,0,1,0,0,0,0,0,0
4,78,0,1,1,1,20,17,-1,1,0,0,0,0,1,0,0,0
4,78,1,1,1,0,43,7,1,1,1,0,0,0,1,0,0,0
3,65,0,1,1,1,17,19,-1,1,0,0,1,0,0,0,0,0
3,65,0,0,1,1,16,19,-1,0,0,0,0,0,1,0,0,0
3,65,1,0,1,0,30,12,1,1,1,0,1,0,0,0,0,0
2,84,0,1,1,0,61,11,-1,1,0,0,1,0,0,0,0,0
2,84,0,0,0,0,36,21,-1,1,0,0,1,0,0,0,0,0
2,84,0,0,0,0,38,21,-1,0,0,0,1,0,0,0,0,0
3,100,1,1,0,1,31,8,0,1,0,0,0,0,0,0,1,0
3,100,1,0,0,0,25,8,0,0,0,0,0,0,0,0,1,0
4,100,0,1,1,1,52,20,-1,1,0,0,1,0,0,0,0,0
2,84,0,0,0,0,46,17,-1,1,0,0,1,0,0,0,0,0
2,83,1,1,1,0,30,11,1,1,1,0,0,0,1,0,0,0
2,129,0,1,0,1,16,13,-1,1,0,0,0,0,1,0,0,0
2,129,0,1,0,0,16,13,-1,0,0,0,0,1,0,0,0,0
3,67,0,1,1,1,58,12,-1,1,0,0,0,0,1,0,0,0
2,67,0,1,1,0,18,17,-1,1,0,0,1,0,0,0,0,0
2,65,0,1,0,1,21,12,-1,1,0,0,0,0,1,0,0,0
2,65,0,1,0,0,17,12,-1,0,0,0,0,0,1,0,0,0
2,103,0,0,1,1,71,18,-1,1,0,0,0,1,0,0,0,0
2,68,1,1,1,0,72,10,1,1,1,0,0,1,0,0,0,0
2,68,1,1,1,1,71,10,1,0,1,0,1,0,0,0,0,0
2,142,0,1,1,0,74,16,-1,1,0,0,1,0,0,0,0,0
2,108,0,1,1,1,41,19,-1,1,0,0,1,0,0,0,0,0
2,108,0,1,1,1,54,17,-1,1,0,0,1,0,0,0,0,0
2,108,0,1,1,0,61,17,-1,0,0,0,1,0,0,0,0,0
3,45,0,0,1,1,41,20,-1,1,0,0,0,0,1,0,0,0
2,128,0,1,1,1,17,16,-1,1,0,1,0,0,0,0,0,0
2,128,0,1,1,0,17,16,-1,0,0,0,1,0,0,0,0,0
2,44,1,1,1,1,67,7,1,1,1,0,1,0,0,0,0,0
2,44,1,1,1,0,66,7,1,0,1,0,1,0,0,0,0,0
3,95,0,1,0,1,23,20,-1,1,0,1,0,0,0,0,0,0
2,95,0,1,1,1,29,16,-1,1,0,0,1,0,0,0,0,0
3,95,0,1,1,1,46,20,-1,1,0,0,1,0,0,0,0,0
2,106,0,0,1,1,23,18,-1,1,0,0,0,1,0,0,0,0
2,106,0,0,1,1,24,18,-1,0,0,0,0,0,1,0,0,0
3,65,0,1,1,1,67,18,-1,1,0,0,0,0,1,0,0,0
4,65,0,0,0,1,51,19,-1,1,0,0,0,0,1,0,0,0
4,65,0,0,0,1,46,19,-1,0,0,0,0,1,0,0,0,0
3,65,0,1,1,1,63,16,-1,1,0,0,1,0,0,0,0,0
3,65,0,1,1,0,51,16,-1,0,0,0,0,0,1,0,0,0
2,62,1,1,1,0,21,12,1,1,1,0,0,1,0,0,0,0
3,62,0,0,1,0,20,13,-1,1,0,0,0,0,1,0,0,0
2,122,1,1,1,0,21,8,1,1,1,0,0,1,0,0,0,0
2,122,0,1,1,1,26,8,-1,0,0,1,0,0,0,0,0,0
3,79,0,0,1,1,30,19,-1,1,0,1,0,0,0,0,0,0
0,101,0,0,0,0,28,18,-1,1,0,0,1,0,0,0,0,0
2,69,0,0,0,0,44,15,-1,1,0,0,0,1,0,0,0,0
2,69,0,0,0,0,30,15,-1,0,0,1,0,0,0,0,0,0
2,75,0,0,0,1,43,9,-1,1,0,0,1,0,0,0,0,0
2,104,0,0,1,1,38,16,-1,1,0,0,1,0,0,0,0,0
2,55,0,1,1,1,59,23,-1,1,0,1,0,0,0,0,0,0
4,86,0,1,1,1,36,16,-1,1,0,1,0,0,0,0,0,0
2,68,0,0,0,0,53,20,-1,1,0,0,1,0,0,0,0,0
2,68,1,1,1,0,32,8,0,1,0,1,0,0,0,0,0,0
2,68,1,1,1,0,26,8,0,0,0,1,0,0,0,0,0,0
3,50,1,1,1,0,36,8,0,1,0,0,1,0,0,0,0,0
3,145,0,0,1,1,39,20,-1,1,0,0,0,1,0,0,0,0
2,63,0,1,1,1,26,17,-1,1,0,0,1,0,0,0,0,0
3,63,0,1,1,1,28,16,-1,1,0,0,1,0,0,0,0,0
2,110,0,0,1,1,23,21,-1,1,0,0,1,0,0,0,0,0
0,82,1,1,0,1,49,12,0,1,0,0,1,0,0,0,0,0
2,72,0,0,1,1,39,10,-1,1,0,0,1,0,0,0,0,0
3,120,0,1,1,0,35,12,-1,1,0,0,1,0,0,0,0,0
3,127,0,1,1,1,38,14,-1,1,0,0,1,0,0,0,0,0
3,71,0,1,1,0,38,17,-1,1,0,0,0,0,1,0,0,0
3,71,0,1,1,1,61,17,-1,0,0,1,0,0,0,0,0,0
3,63,1,1,1,1,19,8,1,1,1,0,1,0,0,0,0,0
2,50,1,0,1,1,22,7,1,1,1,0,1,0,0,0,0,0
2,143,0,0,1,1,26,18,-1,1,0,1,0,0,0,0,0,0
2,143,0,0,1,0,26,18,-1,0,0,0,1,0,0,0,0,0
4,51,0,1,1,0,32,23,-1,1,0,1,0,0,0,0,0,0
2,108,0,1,0,0,19,18,-1,1,0,1,0,0,0,0,0,0
2,142,0,0,1,1,31,15,-1,1,0,0,1,0,0,0,0,0
2,142,0,0,1,1,31,15,-1,0,0,0,1,0,0,0,0,0
2,68,1,0,0,1,78,11,1,1,1,0,1,0,0,0,0,0
2,50,1,0,1,1,28,10,0,1,0,0,0,0,1,0,0,0
2,67,1,1,0,1,22,9,0,1,0,0,1,0,0,0,0,0
2,67,1,1,0,0,70,9,0,0,0,0,0,1,0,0,0,0
2,67,0,0,1,1,66,15,-1,1,0,0,0,0,1,0,0,0
0,150,0,1,0,1,43,14,-1,1,0,1,0,0,0,0,0,0
5,54,0,0,1,1,21,19,-1,1,0,0,0,0,1,0,0,0
2,68,0,1,0,0,39,12,-1,1,0,0,1,0,0,0,0,0
2,68,0,1,1,0,17,11,-1,1,0,0,0,0,1,0,0,0
2,68,0,0,1,0,18,11,-1,0,0,0,0,0,1,0,0,0
3,121,1,1,0,0,77,9,0,1,0,0,1,0,0,0,0,0
2,69,0,0,1,0,30,11,-1,1,0,0,1,0,0,0,0,0
2,69,0,1,0,0,22,14,-1,1,0,0,1,0,0,0,0,0
4,138,1,1,1,1,56,13,1,1,1,0,1,0,0,0,0,0
3,125,0,0,1,1,17,17,-1,1,0,0,0,0,1,0,0,0
3,125,0,0,1,1,17,17,-1,0,0,0,1,0,0,0,0,0
2,62,0,0,1,1,19,17,-1,1,0,0,1,0,0,0,0,0
3,56,1,1,1,1,84,11,1,1,1,0,0,0,1,0,0,0
3,71,0,1,0,0,17,15,-1,1,0,0,0,0,1,0,0,0
2,71,0,1,1,0,26,18,-1,1,0,0,1,0,0,0,0,0
3,59,1,1,1,1,87,9,1,1,1,0,0,0,0,1,0,0
2,128,1,1,0,1,36,9,0,1,0,0,1,0,0,0,0,0
2,128,1,1,1,1,68,10,1,1,1,0,1,0,0,0,0,0
